Date,Total Rate,Male Rate,Female Rate,Teen Rate,White Rate,Black Rate,Asian Rate,Hispanic Rate,Unemployment Change
Apr 2005,5.2,4.4,4.6,17.8,4.4,10.3,4.2,6.4,0.0
May 2005,5.1,4.3,4.7,17.8,4.4,10.1,4.2,6.0,-0.0192
Jun 2005,5.0,4.3,4.6,16.3,4.3,10.2,3.6,5.7,-0.0196
Jul 2005,5.0,4.2,4.6,16.1,4.2,9.2,4.8,5.5,0.0
Aug 2005,4.9,4.3,4.4,16.1,4.2,9.7,3.7,5.8,-0.02
Sep 2005,5.0,4.5,4.6,15.5,4.4,9.4,4.3,6.4,0.0204
Oct 2005,5.0,4.3,4.5,16.1,4.4,9.1,3.2,6.0,0.0
Nov 2005,5.0,4.3,4.6,17.0,4.3,10.6,3.6,6.1,0.0
Dec 2005,4.9,4.3,4.4,14.9,4.2,9.2,3.8,6.1,-0.02
Jan 2006,4.7,4.1,4.3,15.1,4.1,8.9,3.0,5.5,-0.0408
Feb 2006,4.8,4.2,4.3,15.3,4.1,9.5,3.0,5.4,0.0213
Mar 2006,4.7,4.1,4.2,16.1,4.0,9.5,3.5,5.2,-0.0208
Apr 2006,4.7,4.2,4.3,14.6,4.1,9.4,3.9,5.5,0.0
May 2006,4.6,4.2,4.1,14.0,4.1,8.7,3.3,5.0,-0.0213
Jun 2006,4.6,4.0,4.1,15.8,4.1,8.9,3.1,5.2,0.0
Jul 2006,4.7,4.1,4.2,15.9,4.1,9.5,2.4,5.2,0.0217
Aug 2006,4.7,4.1,4.1,16.0,4.1,8.8,3.0,5.3,0.0
Sep 2006,4.5,3.7,4.2,16.3,3.9,9.0,3.0,5.5,-0.0426
Oct 2006,4.4,3.9,3.9,15.2,3.9,8.4,2.8,4.8,-0.0222
Nov 2006,4.5,4.0,4.0,14.8,4.0,8.5,3.1,5.1,0.0227
Dec 2006,4.4,3.9,3.9,14.6,3.9,8.3,2.5,5.0,-0.0222
Jan 2007,4.6,4.2,4.0,14.8,4.2,7.9,3.1,5.5,0.0455
Feb 2007,4.5,4.2,3.8,14.9,4.1,8.0,2.6,5.1,-0.0217
Mar 2007,4.4,4.0,3.8,14.9,3.8,8.4,3.0,5.0,-0.0222
Apr 2007,4.5,4.0,3.9,15.9,4.0,8.3,3.5,5.6,0.0227
May 2007,4.4,4.0,3.8,15.9,3.9,8.3,3.2,5.8,-0.0222
Jun 2007,4.6,4.0,3.9,16.3,4.1,8.5,2.7,5.5,0.0455
Jul 2007,4.7,4.2,4.2,15.3,4.2,8.1,2.7,5.9,0.0217
Aug 2007,4.6,4.1,4.1,15.9,4.2,7.6,3.5,5.5,-0.0213
Sep 2007,4.7,4.2,4.1,15.9,4.2,8.0,3.4,5.9,0.0217
Oct 2007,4.7,4.3,4.1,15.4,4.1,8.5,3.8,5.7,0.0
Nov 2007,4.7,4.2,4.2,16.2,4.2,8.5,3.6,5.9,0.0
Dec 2007,5.0,4.4,4.4,16.8,4.4,9.0,3.7,6.3,0.0638
Jan 2008,5.0,4.5,4.3,17.8,4.4,9.1,3.1,6.3,0.0
Feb 2008,4.9,4.4,4.2,16.6,4.4,8.4,2.9,6.2,-0.02
Mar 2008,5.1,4.6,4.5,16.1,4.5,9.2,3.6,6.9,0.0408
Apr 2008,5.0,4.6,4.2,15.9,4.4,8.6,3.5,7.1,-0.0196
May 2008,5.4,4.9,4.6,19.0,4.8,9.6,4.1,6.9,0.08
Jun 2008,5.6,5.1,4.7,19.2,5.0,9.4,4.2,7.6,0.037
Jul 2008,5.8,5.4,4.7,20.7,5.2,10.0,3.7,7.5,0.0357
Aug 2008,6.1,5.7,5.4,18.6,5.4,10.6,4.5,8.0,0.0517
Sep 2008,6.1,6.1,5.0,19.1,5.4,11.3,4.0,8.0,0.0
Oct 2008,6.5,6.3,5.4,20.0,5.9,11.4,3.9,8.8,0.0656
Nov 2008,6.8,6.7,5.7,20.3,6.2,11.5,4.8,8.7,0.0462
Dec 2008,7.3,7.4,5.9,20.5,6.7,12.1,5.1,9.4,0.0735
Jan 2009,7.8,7.9,6.5,20.7,7.1,12.7,6.1,10.1,0.0685
Feb 2009,8.3,8.5,6.8,22.3,7.6,13.7,6.7,11.3,0.0641
Mar 2009,8.7,9.0,7.1,22.2,8.0,13.7,6.5,11.7,0.0482
Apr 2009,9.0,9.5,7.1,22.2,8.1,15.0,6.8,11.4,0.0345
May 2009,9.4,9.8,7.5,23.4,8.5,15.0,7.0,12.3,0.0444
Jun 2009,9.5,9.9,7.6,24.7,8.7,14.8,7.9,12.1,0.0106
Jul 2009,9.5,9.8,7.7,24.3,8.7,14.8,8.1,12.5,0.0
Aug 2009,9.6,10.0,7.7,25.0,8.9,14.8,7.6,13.0,0.0105
Sep 2009,9.8,10.1,7.9,25.9,8.9,15.3,7.6,12.6,0.0208
Oct 2009,10.0,10.4,8.0,27.2,9.2,15.8,7.6,12.8,0.0204
Nov 2009,9.9,10.3,7.9,26.9,9.2,15.7,7.2,12.4,-0.01
Dec 2009,9.9,10.1,8.0,26.7,9.0,16.1,8.4,12.8,0.0
Jan 2010,9.8,10.2,7.9,26.1,8.8,16.5,8.3,12.9,-0.0101
Feb 2010,9.8,10.3,8.0,25.6,8.9,16.1,8.2,12.7,0.0
Mar 2010,9.9,10.2,8.1,26.2,8.9,16.8,7.6,12.9,0.0102
Apr 2010,9.9,10.2,8.3,25.4,9.0,16.6,7.0,12.5,0.0
May 2010,9.6,9.7,8.1,26.5,8.7,15.5,7.8,12.0,-0.0303
Jun 2010,9.4,9.7,7.7,25.9,8.6,15.2,7.4,12.3,-0.0208
Jul 2010,9.4,9.6,7.9,25.9,8.5,15.6,7.9,12.2,0.0
Aug 2010,9.5,9.6,8.0,25.5,8.6,15.9,7.3,12.0,0.0106
Sep 2010,9.5,9.6,8.0,25.8,8.6,16.0,6.6,12.3,0.0
Oct 2010,9.4,9.4,8.0,27.2,8.6,15.6,7.2,12.3,-0.0105
Nov 2010,9.8,9.9,8.4,24.8,8.9,16.2,7.5,12.9,0.0426
Dec 2010,9.3,9.4,8.0,25.3,8.5,15.5,7.2,12.9,-0.051
Jan 2011,9.1,9.0,7.9,25.7,8.1,15.8,6.8,12.3,-0.0215
Feb 2011,9.0,8.9,7.9,24.1,8.1,15.5,6.7,11.8,-0.011
Mar 2011,9.0,8.8,7.8,24.4,8.0,15.8,7.3,11.6,0.0
Apr 2011,9.1,8.9,8.0,24.7,8.1,16.5,6.5,11.9,0.0111
May 2011,9.0,8.8,8.0,23.9,7.9,16.3,7.2,11.6,-0.011
Jun 2011,9.1,9.0,8.0,24.5,8.1,16.2,6.5,11.5,0.0111
Jul 2011,9.0,8.8,7.9,24.7,8.0,15.9,7.4,11.2,-0.011
Aug 2011,9.0,8.7,7.9,25.0,7.9,16.4,7.2,11.2,0.0
Sep 2011,9.0,8.7,8.2,24.4,7.9,15.9,8.0,11.2,0.0
Oct 2011,8.8,8.6,7.8,24.2,7.9,14.6,7.4,11.3,-0.0222
Nov 2011,8.6,8.2,7.8,24.2,7.7,15.6,6.4,11.2,-0.0227
Dec 2011,8.5,8.0,7.8,23.3,7.5,15.4,6.8,11.1,-0.0116
Jan 2012,8.3,7.7,7.6,23.6,7.4,13.6,6.7,10.7,-0.0235
Feb 2012,8.3,7.7,7.6,23.8,7.4,14.0,6.2,10.9,0.0
Mar 2012,8.2,7.7,7.4,24.8,7.3,14.0,6.4,10.6,-0.012
Apr 2012,8.2,7.6,7.4,25.0,7.4,13.3,5.4,10.3,0.0
May 2012,8.2,7.7,7.4,24.4,7.4,13.5,5.5,10.9,0.0
Jun 2012,8.2,7.7,7.4,23.3,7.3,14.5,6.1,10.9,0.0
Jul 2012,8.2,7.7,7.4,23.6,7.3,14.2,5.9,10.2,0.0
Aug 2012,8.1,7.6,7.3,24.2,7.2,13.8,5.9,10.1,-0.0122
Sep 2012,7.8,7.3,7.1,23.8,7.0,13.6,4.9,9.7,-0.037
Oct 2012,7.8,7.2,7.1,23.9,6.9,14.1,4.9,10.0,0.0
Nov 2012,7.7,7.2,7.0,23.9,6.8,13.3,6.3,9.9,-0.0128
Dec 2012,7.9,7.2,7.4,24.1,6.9,14.0,6.6,9.6,0.026
Jan 2013,8.0,7.5,7.2,23.7,7.1,13.7,6.4,9.7,0.0127
Feb 2013,7.7,7.0,7.0,25.2,6.8,13.8,6.0,9.7,-0.0375
Mar 2013,7.5,6.9,6.9,24.0,6.7,13.0,5.1,9.3,-0.026
Apr 2013,7.6,7.2,6.7,24.4,6.7,13.3,5.3,9.0,0.0133
May 2013,7.5,7.1,6.5,24.4,6.7,13.4,4.5,9.0,-0.0132
Jun 2013,7.5,7.0,6.8,23.1,6.6,14.2,4.7,9.1,0.0
Jul 2013,7.3,7.0,6.3,23.3,6.5,12.6,5.3,9.4,-0.0267
Aug 2013,7.2,7.1,6.2,22.5,6.4,12.8,5.1,9.2,-0.0137
Sep 2013,7.2,7.1,6.2,21.3,6.3,13.0,5.4,8.8,0.0
Oct 2013,7.2,6.9,6.3,22.2,6.3,12.8,5.4,9.1,0.0
Nov 2013,6.9,6.6,6.2,20.7,6.1,12.3,5.2,8.7,-0.0417
Dec 2013,6.7,6.3,6.1,20.4,5.9,11.9,4.3,8.3,-0.029
Jan 2014,6.6,6.2,5.8,20.4,5.7,12.1,4.7,8.3,-0.0149
Feb 2014,6.7,6.3,5.9,21.4,5.8,11.8,5.9,8.2,0.0152
Mar 2014,6.7,6.1,6.2,20.8,5.8,12.1,5.5,7.9,0.0
Apr 2014,6.2,5.9,5.6,19.4,5.3,11.6,5.9,7.2,-0.0746
May 2014,6.3,5.9,5.8,19.3,5.4,11.4,5.7,7.7,0.0161
Jun 2014,6.1,5.7,5.3,20.4,5.3,11.0,4.7,7.8,-0.0317
Jul 2014,6.2,5.7,5.6,20.3,5.3,11.6,4.2,7.7,0.0164
Aug 2014,6.1,5.7,5.6,19.4,5.3,11.4,4.5,7.4,-0.0161
Sep 2014,5.9,5.3,5.5,20.1,5.1,11.0,4.4,6.8,-0.0328
Oct 2014,5.7,5.1,5.4,18.7,4.9,10.6,5.1,6.8,-0.0339
Nov 2014,5.8,5.4,5.3,17.2,5.0,10.9,4.8,6.6,0.0175
Dec 2014,5.6,5.2,5.1,16.9,4.7,10.6,4.4,6.4,-0.0345
Jan 2015,5.7,5.3,5.0,18.5,4.9,10.3,4.0,6.7,0.0179
Feb 2015,5.5,5.2,4.9,16.9,4.7,10.1,4.0,6.8,-0.0351
Mar 2015,5.4,5.1,4.9,17.5,4.8,9.9,3.2,6.8,-0.0182
Apr 2015,5.4,5.0,5.0,17.2,4.7,9.7,4.4,6.8,0.0
May 2015,5.6,5.2,5.1,17.8,4.8,10.3,4.1,6.8,0.037
Jun 2015,5.3,4.8,4.7,18.0,4.6,9.7,3.9,6.7,-0.0536
Jul 2015,5.2,4.8,4.8,16.4,4.5,9.1,3.9,6.9,-0.0189
Aug 2015,5.1,4.7,4.6,16.9,4.4,9.4,3.4,6.6,-0.0192
Sep 2015,5.0,4.7,4.6,16.5,4.4,9.3,3.5,6.2,-0.0196
Oct 2015,5.0,4.7,4.6,15.9,4.4,9.0,3.5,6.3,0.0
Nov 2015,5.1,4.8,4.6,15.3,4.4,9.4,3.9,6.4,0.02
Dec 2015,5.0,4.6,4.5,16.2,4.4,8.5,4.1,6.2,-0.0196
Jan 2016,4.8,4.3,4.5,15.9,4.2,8.5,3.6,5.9,-0.04
Feb 2016,4.9,4.4,4.5,15.4,4.2,8.6,3.8,5.5,0.0208
Mar 2016,5.0,4.5,4.7,16.0,4.3,8.9,3.9,5.6,0.0204
Apr 2016,5.1,4.7,4.6,16.1,4.4,8.8,3.8,6.2,0.02
May 2016,4.8,4.4,4.3,15.9,4.2,8.2,4.1,5.7,-0.0588
Jun 2016,4.9,4.5,4.4,16.0,4.3,8.7,3.6,6.0,0.0208
Jul 2016,4.8,4.7,4.1,15.2,4.2,8.2,3.8,5.4,-0.0204
Aug 2016,4.9,4.5,4.4,15.7,4.4,8.0,4.1,5.6,0.0208
Sep 2016,5.0,4.7,4.4,16.1,4.4,8.5,3.8,6.2,0.0204
Oct 2016,4.9,4.6,4.4,15.8,4.4,8.5,3.4,5.7,-0.02
Nov 2016,4.7,4.4,4.3,15.5,4.2,8.2,3.1,5.6,-0.0408
Dec 2016,4.7,4.4,4.3,14.9,4.2,8.0,2.7,5.8,0.0
Jan 2017,4.7,4.3,4.3,14.6,4.2,7.5,3.6,5.8,0.0
Feb 2017,4.6,4.2,4.2,14.6,4.0,8.0,3.5,5.6,-0.0213
Mar 2017,4.4,4.2,4.0,13.4,3.8,7.8,3.2,5.0,-0.0435
Apr 2017,4.4,3.9,4.1,14.4,3.9,7.7,3.3,5.2,0.0
May 2017,4.4,3.9,4.1,14.2,3.7,7.7,3.6,5.2,0.0
Jun 2017,4.3,3.9,3.9,13.6,3.8,6.9,3.7,5.0,-0.0227
Jul 2017,4.3,4.0,3.9,13.2,3.8,7.3,3.7,5.1,0.0
Aug 2017,4.4,4.1,4.0,13.9,3.9,7.7,3.9,5.1,0.0233
Sep 2017,4.3,3.9,3.9,12.9,3.7,7.2,3.6,5.1,-0.0227
Oct 2017,4.2,3.9,3.7,14.0,3.6,7.6,3.0,5.0,-0.0233
Nov 2017,4.2,3.8,3.7,16.2,3.7,7.5,3.1,4.9,0.0
Dec 2017,4.1,3.8,3.8,13.6,3.7,6.7,2.6,5.0,-0.0238
Jan 2018,4.0,3.7,3.6,13.8,3.5,7.5,2.9,4.9,-0.0244
Feb 2018,4.1,3.6,3.7,14.4,3.6,6.8,3.0,4.9,0.025
Mar 2018,4.0,3.6,3.7,13.2,3.5,6.7,3.1,4.9,-0.0244
Apr 2018,4.0,3.7,3.6,12.7,3.6,6.4,2.9,4.8,0.0
May 2018,3.8,3.6,3.4,13.1,3.5,5.9,2.2,4.8,-0.05
Jun 2018,4.0,3.7,3.6,12.6,3.5,6.4,3.2,4.5,0.0526
Jul 2018,3.8,3.4,3.6,12.9,3.4,6.5,3.0,4.5,-0.05
Aug 2018,3.8,3.5,3.5,12.8,3.4,6.3,2.9,4.7,0.0
Sep 2018,3.7,3.5,3.3,12.3,3.3,6.1,3.5,4.6,-0.0263
Oct 2018,3.8,3.6,3.4,12.1,3.4,6.5,3.1,4.4,0.027
Nov 2018,3.8,3.4,3.5,12.4,3.4,6.1,2.8,4.7,0.0
Dec 2018,3.9,3.6,3.5,12.6,3.5,6.6,3.3,4.4,0.0263
Jan 2019,4.0,3.6,3.6,13.2,3.5,7.0,3.0,4.8,0.0256
Feb 2019,3.8,3.4,3.4,13.8,3.2,7.2,3.2,4.2,-0.05
Mar 2019,3.8,3.5,3.4,12.7,3.3,6.7,3.0,4.7,0.0
Apr 2019,3.7,3.4,3.2,13.1,3.2,6.7,2.3,4.2,-0.0263
May 2019,3.6,3.3,3.3,12.9,3.2,6.1,2.6,4.2,-0.027
Jun 2019,3.6,3.3,3.3,12.6,3.3,5.8,2.0,4.3,0.0
Jul 2019,3.7,3.4,3.3,12.6,3.4,5.7,2.8,4.5,0.0278
Aug 2019,3.6,3.4,3.2,12.3,3.4,5.3,2.8,4.1,-0.027
Sep 2019,3.5,3.3,3.1,12.2,3.2,5.3,2.5,3.9,-0.0278
Oct 2019,3.6,3.4,3.2,11.9,3.2,5.5,2.9,4.1,0.0286
Nov 2019,3.6,3.2,3.3,12.0,3.2,5.5,2.6,4.3,0.0
Dec 2019,3.6,3.2,3.3,12.6,3.2,6.0,2.6,4.2,0.0
Jan 2020,3.6,3.2,3.3,12.5,3.1,6.4,3.0,4.3,0.0
Feb 2020,3.5,3.3,3.1,11.3,3.0,6.1,2.5,4.4,-0.0278
Mar 2020,4.4,4.1,4.0,14.3,3.9,7.0,4.2,6.1,0.2571
Apr 2020,14.8,13.0,15.5,32.8,14.2,16.9,14.5,18.9,2.3636
May 2020,13.2,11.5,13.9,30.5,12.3,16.8,15.0,17.6,-0.1081
Jun 2020,11.0,10.1,11.2,22.5,10.0,15.3,13.6,14.5,-0.1667
Jul 2020,10.2,9.4,10.5,19.2,9.2,14.3,12.0,12.8,-0.0727
Aug 2020,8.4,7.9,8.3,16.5,7.3,12.8,10.5,10.4,-0.1765
Sep 2020,7.8,7.3,7.8,16.0,7.0,12.0,8.9,10.2,-0.0714
Oct 2020,6.9,6.8,6.4,13.8,6.0,10.9,7.5,8.8,-0.1154
Nov 2020,6.7,6.6,6.1,13.8,6.0,10.3,6.7,8.5,-0.029
Dec 2020,6.7,6.4,6.3,15.8,6.1,10.0,6.0,9.3,0.0
Jan 2021,6.4,6.1,6.0,15.0,5.7,9.4,6.7,8.5,-0.0448
Feb 2021,6.2,6.0,5.9,13.9,5.6,9.9,5.1,8.5,-0.0312
Mar 2021,6.1,5.9,5.7,13.0,5.4,9.7,6.0,8.0,-0.0161
Apr 2021,6.1,6.0,5.7,12.1,5.3,10.2,5.8,7.9,0.0
May 2021,5.8,5.8,5.3,9.7,5.1,9.0,5.7,7.2,-0.0492
Jun 2021,5.9,5.8,5.5,11.3,5.2,9.1,5.5,7.3,0.0172
Jul 2021,5.4,5.4,5.0,10.5,4.8,8.1,5.3,6.4,-0.0847
Aug 2021,5.1,5.0,4.7,11.0,4.5,8.6,4.4,6.0,-0.0556
Sep 2021,4.7,4.7,4.3,11.1,4.2,7.7,4.1,6.2,-0.0784
Oct 2021,4.5,4.3,4.2,11.3,3.9,7.6,4.1,5.7,-0.0426
Nov 2021,4.2,3.9,3.9,10.9,3.7,6.4,3.8,5.0,-0.0667
Dec 2021,3.9,3.7,3.6,11.0,3.3,7.0,3.8,4.6,-0.0714
Jan 2022,4.0,3.7,3.7,11.1,3.4,7.0,3.6,4.7,0.0256
Feb 2022,3.8,3.6,3.7,10.2,3.3,6.7,2.9,4.4,-0.05
Mar 2022,3.7,3.4,3.4,10.2,3.2,6.3,2.8,4.2,-0.0263
Apr 2022,3.7,3.5,3.3,10.7,3.3,6.1,3.1,4.2,0.0
May 2022,3.6,3.4,3.4,10.5,3.2,6.2,2.5,4.4,-0.027
Jun 2022,3.6,3.4,3.3,11.1,3.3,5.8,2.9,4.3,0.0
Jul 2022,3.5,3.3,3.1,11.3,3.1,5.9,2.7,4.0,-0.0278
Aug 2022,3.6,3.4,3.2,10.1,3.1,6.4,2.7,4.5,0.0286
Sep 2022,3.5,3.3,3.1,11.3,3.0,5.8,2.4,3.9,-0.0278
Oct 2022,3.6,3.3,3.4,10.6,3.2,5.8,2.9,4.2,0.0286
Nov 2022,3.6,3.3,3.3,11.3,3.3,5.6,2.6,4.0,0.0
Dec 2022,3.5,3.2,3.2,10.5,3.1,5.7,2.5,4.2,-0.0278
Jan 2023,3.5,3.2,3.1,10.4,3.1,5.4,2.9,4.6,0.0
Feb 2023,3.6,3.3,3.3,11.1,3.2,5.8,3.4,5.5,0.0286
Mar 2023,3.5,3.4,3.1,9.8,3.3,5.0,2.9,4.7,-0.0278
Apr 2023,3.4,3.3,3.1,9.4,3.1,4.8,2.9,4.4,-0.0286
May 2023,3.6,3.4,3.4,10.3,3.3,5.7,3.0,4.0,0.0588
Jun 2023,3.6,3.4,3.1,11.3,3.1,6.0,3.1,4.3,0.0
Jul 2023,3.5,3.4,3.1,11.4,3.1,5.7,2.3,4.4,-0.0278
Aug 2023,3.7,3.6,3.2,12.2,3.4,5.3,3.1,4.8,0.0571
Sep 2023,3.8,3.8,3.1,11.6,3.4,5.7,2.8,4.6,0.027
Oct 2023,3.9,3.7,3.2,13.1,3.5,5.9,3.1,4.8,0.0263
Nov 2023,3.7,3.7,3.1,11.4,3.3,5.8,3.5,4.5,-0.0513
Dec 2023,3.8,3.6,3.3,11.9,3.5,5.2,3.1,5.0,0.027
Jan 2024,3.7,3.6,3.2,10.6,3.4,5.3,2.9,5.0,-0.0263
Feb 2024,3.9,3.5,3.5,12.6,3.4,5.6,3.4,5.1,0.0541
Mar 2024,3.9,3.4,3.6,12.6,3.4,6.4,2.6,4.5,0.0
Apr 2024,3.9,3.6,3.5,11.8,3.5,5.6,2.9,4.8,0.0
May 2024,4.0,3.8,3.4,12.4,3.5,6.1,3.1,5.0,0.0256
Jun 2024,4.1,3.8,3.7,12.3,3.5,6.3,4.1,4.9,0.025
Jul 2024,4.2,4.0,3.8,12.6,3.8,6.3,3.7,5.3,0.0244
Aug 2024,4.2,3.9,3.7,14.2,3.8,6.1,4.1,5.4,0.0
Sep 2024,4.1,3.8,3.6,14.2,3.7,5.7,4.1,5.1,-0.0238
Oct 2024,4.1,3.9,3.6,13.7,3.8,5.7,3.9,5.1,0.0
Nov 2024,4.2,3.9,3.9,13.1,3.8,6.4,3.8,5.3,0.0244
Dec 2024,4.1,3.7,3.8,12.4,3.6,6.1,3.5,5.1,-0.0238
Jan 2025,4.0,3.7,3.7,11.8,3.5,6.2,3.7,4.8,-0.0244
Feb 2025,4.1,3.8,3.8,12.9,3.8,6.0,3.2,5.2,0.025
Mar 2025,4.2,3.8,3.7,13.7,3.7,6.2,3.5,5.1,0.0244
Apr 2025,4.2,4.0,3.7,12.9,3.8,6.3,3.0,5.2,0.0
